,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
12780,3_60b56ada17663c9fdcb74bdd_finance_incongruent,60b56ada17663c9fdcb74bdd,experiment_3,2,finance,1,0.9246221638555591,0.8604273684402294,10.22660392
12804,3_60c048ca962103e0da201a34_crime_congruent,60c048ca962103e0da201a34,experiment_3,1,crime,1,0.8259223440443022,0.6968632455608659,12.46149303
12828,3_60c048ca962103e0da201a34_finance_incongruent,60c048ca962103e0da201a34,experiment_3,2,finance,1,0.8130106019983085,0.5978001667300781,12.56108215
12852,3_60c0ed7d2fbe3e53bca9866a_crime_incongruent,60c0ed7d2fbe3e53bca9866a,experiment_3,2,crime,1,0.9163757989992909,0.8541350085021054,10.8792133
12876,3_60c0ed7d2fbe3e53bca9866a_finance_congruent,60c0ed7d2fbe3e53bca9866a,experiment_3,1,finance,1,1.0,0.8492443277111181,10.87919691
12900,3_60ccdd2c461e041ac1dc2b41_crime_incongruent,60ccdd2c461e041ac1dc2b41,experiment_3,2,crime,1,0.919417703597462,0.919417703597462,6.905890466
12924,3_60ccdd2c461e041ac1dc2b41_finance_congruent,60ccdd2c461e041ac1dc2b41,experiment_3,1,finance,1,0.91695452014626,1.0,6.905890466
12948,3_60d2f9397932f9695f49f5f4_crime_incongruent,60d2f9397932f9695f49f5f4,experiment_3,2,crime,1,0.7386133489130333,0.758878588914794,12.77451379
12972,3_60d2f9397932f9695f49f5f4_finance_congruent,60d2f9397932f9695f49f5f4,experiment_3,1,finance,1,0.7373871342805549,0.6777809182993317,12.46218547
12996,3_60d3acd071e98de7a42743ac_crime_incongruent,60d3acd071e98de7a42743ac,experiment_3,2,crime,1,0.8199099324437007,0.8756459991565483,11.46643759
13020,3_60d3acd071e98de7a42743ac_finance_congruent,60d3acd071e98de7a42743ac,experiment_3,1,finance,1,0.886039423540362,0.5626707983668449,11.46587325
13044,3_60d6e2dd110d9cbe0c20bbc7_crime_congruent,60d6e2dd110d9cbe0c20bbc7,experiment_3,1,crime,1,0.8295014151323816,0.8053752639596192,12.21263521
13068,3_60d6e2dd110d9cbe0c20bbc7_finance_incongruent,60d6e2dd110d9cbe0c20bbc7,experiment_3,2,finance,1,0.886039423540362,0.8769085090206673,12.05321485
13092,3_60db521470b51a50415d3439_crime_congruent,60db521470b51a50415d3439,experiment_3,1,crime,1,0.9157848078933482,0.8769085090206673,11.41872676
13116,3_60db521470b51a50415d3439_finance_incongruent,60db521470b51a50415d3439,experiment_3,2,finance,1,0.9129611720221511,0.7388835160664533,11.41872675
13140,3_60ddfb3db6a71ad9ba75e387_crime_congruent,60ddfb3db6a71ad9ba75e387,experiment_3,1,crime,1,0.9221501055838477,0.7867992836443896,11.98325448
13164,3_60ddfb3db6a71ad9ba75e387_finance_incongruent,60ddfb3db6a71ad9ba75e387,experiment_3,2,finance,1,0.9221501055838477,0.7614406381931511,12.0983576
13188,3_60e70d678909d1d5e5bd8943_crime_incongruent,60e70d678909d1d5e5bd8943,experiment_3,2,crime,1,0.8529570755812385,0.8595121282627459,7.867668746
13212,3_60e70d678909d1d5e5bd8943_finance_congruent,60e70d678909d1d5e5bd8943,experiment_3,1,finance,1,0.83390904029252,0.919417703597462,7.867668746
13236,3_60eddc1f62cdf337ab19f604_crime_congruent,60eddc1f62cdf337ab19f604,experiment_3,1,crime,1,0.6040748091409733,0.6966445321453714,13.93156857
13260,3_60eddc1f62cdf337ab19f604_finance_incongruent,60eddc1f62cdf337ab19f604,experiment_3,2,finance,1,0.8686935671402775,0.68637497590641,12.05360292
13284,3_6106ac34408681f3b0d07396_crime_incongruent,6106ac34408681f3b0d07396,experiment_3,2,crime,1,0.9188892894346188,0.9237507148336976,9.501942417
13308,3_6106ac34408681f3b0d07396_finance_congruent,6106ac34408681f3b0d07396,experiment_3,1,finance,1,0.9163757989992909,0.5823654652077216,9.49880084
13332,3_610abbbb784eea92360657e0_crime_congruent,610abbbb784eea92360657e0,experiment_3,1,crime,1,1.0,0.9098330365332568,5.879810129
13356,3_610abbbb784eea92360657e0_finance_incongruent,610abbbb784eea92360657e0,experiment_3,2,finance,1,0.8867722965855405,0.9221501055838477,6.017866013
13380,3_611231e33c2e4198943389a9_crime_congruent,611231e33c2e4198943389a9,experiment_3,1,crime,1,0.889903623487364,0.8825559560970593,5.471260851
13404,3_611231e33c2e4198943389a9_finance_incongruent,611231e33c2e4198943389a9,experiment_3,2,finance,1,0.9163757989992909,1.0,5.989241984
13428,3_61169988cf61a1a4c41fdf9c_crime_congruent,61169988cf61a1a4c41fdf9c,experiment_3,1,crime,1,0.8475014296673953,0.8367006838144548,10.87921253
13452,3_61169988cf61a1a4c41fdf9c_finance_incongruent,61169988cf61a1a4c41fdf9c,experiment_3,2,finance,1,0.9163757989992909,0.8769085090206673,10.87921253
13476,3_611ab1da8239817bc8d5f1e1_crime_congruent,611ab1da8239817bc8d5f1e1,experiment_3,1,crime,1,0.8927887465162205,0.7137008328430658,10.22660411
13500,3_611ab1da8239817bc8d5f1e1_finance_incongruent,611ab1da8239817bc8d5f1e1,experiment_3,2,finance,1,0.889903623487364,0.8068331476784361,10.22660411
13524,3_611e58f3b7cfe10fe9eef3df_crime_congruent,611e58f3b7cfe10fe9eef3df,experiment_3,1,crime,1,0.5825764450316391,0.5317070942091531,13.93156857
13548,3_611e58f3b7cfe10fe9eef3df_finance_incongruent,611e58f3b7cfe10fe9eef3df,experiment_3,2,finance,1,0.7883963152424205,0.8,13.93156857
13572,3_61254c5a6facc8ed023a64de_crime_congruent,61254c5a6facc8ed023a64de,experiment_3,1,crime,1,0.8892302448756577,0.8068331476784361,7.862913612
13596,3_61254c5a6facc8ed023a64de_finance_incongruent,61254c5a6facc8ed023a64de,experiment_3,2,finance,1,0.792768763753932,0.8237731557874397,7.895923404
13620,3_61267b828ead584bcf092e35_crime_incongruent,61267b828ead584bcf092e35,experiment_3,2,crime,1,1.0,0.7909166506042733,9.501868782
13644,3_61267b828ead584bcf092e35_finance_congruent,61267b828ead584bcf092e35,experiment_3,1,finance,1,1.0,0.9098330365332568,9.700896208
13668,3_61322612510b85268a0c4b63_crime_incongruent,61322612510b85268a0c4b63,experiment_3,2,crime,1,0.8347050987731784,0.6738359634732789,10.87921253
13692,3_61322612510b85268a0c4b63_finance_congruent,61322612510b85268a0c4b63,experiment_3,1,finance,1,0.9163757989992909,0.8933996418221948,10.87921253
13716,3_613a469755c08ab3b9d682ad_crime_congruent,613a469755c08ab3b9d682ad,experiment_3,1,crime,1,0.8295014151323816,0.818928507914963,10.21207911
13740,3_613a469755c08ab3b9d682ad_finance_incongruent,613a469755c08ab3b9d682ad,experiment_3,2,finance,1,0.919417703597462,0.8724846573873324,10.20372988
13764,3_613aa0162f4662712a517461_crime_incongruent,613aa0162f4662712a517461,experiment_3,2,crime,1,0.7883963152424205,0.75615689581319,12.87989941
13788,3_613aa0162f4662712a517461_finance_congruent,613aa0162f4662712a517461,experiment_3,1,finance,1,0.913613157441864,0.717157287525381,12.87929697
13812,3_613af39692992acbacdbbbbc_crime_incongruent,613af39692992acbacdbbbbc,experiment_3,2,crime,1,0.4849212463622873,0.5152601959858997,13.93156857
13836,3_613af39692992acbacdbbbbc_finance_congruent,613af39692992acbacdbbbbc,experiment_3,1,finance,1,0.5326769804538822,0.7358647281023128,13.93156857
13860,3_613e18e92e4ed15176362aa2_crime_incongruent,613e18e92e4ed15176362aa2,experiment_3,2,crime,1,0.8199099324437007,0.882148869802242,8.803025039
13884,3_613e18e92e4ed15176362aa2_finance_congruent,613e18e92e4ed15176362aa2,experiment_3,1,finance,1,0.8960249510179927,0.8756459991565483,9.336707513
13908,3_613f0f91c83af0d188a54669_crime_incongruent,613f0f91c83af0d188a54669,experiment_3,2,crime,1,1.0,0.8327515979985818,10.3137749
13932,3_613f0f91c83af0d188a54669_finance_congruent,613f0f91c83af0d188a54669,experiment_3,1,finance,1,1.0,0.5901219693616161,10.31393767
13956,3_614edf1b57efb3bbc5edd55c_crime_incongruent,614edf1b57efb3bbc5edd55c,experiment_3,2,crime,1,0.47446172718775637,0.42728715746894597,13.93156857
13980,3_614edf1b57efb3bbc5edd55c_finance_congruent,614edf1b57efb3bbc5edd55c,experiment_3,1,finance,1,0.4059114742139954,0.3954197808567417,13.93156857
14004,3_6151d444ac15808872e32dc8_crime_incongruent,6151d444ac15808872e32dc8,experiment_3,2,crime,1,0.522940038468379,0.4936303164581667,13.64785733
14028,3_6151d444ac15808872e32dc8_finance_congruent,6151d444ac15808872e32dc8,experiment_3,1,finance,1,0.8817375208021835,0.6871068906126281,13.08043485
14052,3_615230e2db85b00b50240ab8_crime_congruent,615230e2db85b00b50240ab8,experiment_3,1,crime,1,0.8492443277111181,0.9221501055838477,4.761385776
14076,3_615230e2db85b00b50240ab8_finance_incongruent,615230e2db85b00b50240ab8,experiment_3,2,finance,1,0.91695452014626,0.91695452014626,4.761385776
14100,3_615373f88839471e0ab77399_crime_congruent,615373f88839471e0ab77399,experiment_3,1,crime,1,0.779136947850307,0.81004612605476,8.7251868
14124,3_615373f88839471e0ab77399_finance_incongruent,615373f88839471e0ab77399,experiment_3,2,finance,1,0.889903623487364,0.9199359230974564,8.7251868
14148,3_615ec387ec57223c894f6fc2_crime_congruent,615ec387ec57223c894f6fc2,experiment_3,1,crime,1,0.8529570755812385,0.9012270403350411,7.867665882
14172,3_615ec387ec57223c894f6fc2_finance_incongruent,615ec387ec57223c894f6fc2,experiment_3,2,finance,1,0.838835407194924,0.8719631200671041,7.867665882
14196,3_616c3f3a378cb38f3f7ecac3_crime_incongruent,616c3f3a378cb38f3f7ecac3,experiment_3,2,crime,1,0.9157848078933482,0.7867992836443896,8.725638864
14220,3_616c3f3a378cb38f3f7ecac3_finance_congruent,616c3f3a378cb38f3f7ecac3,experiment_3,1,finance,1,0.889903623487364,0.8817375208021835,8.717287427
14244,3_61717173748006894b2b54ff_crime_incongruent,61717173748006894b2b54ff,experiment_3,2,crime,1,0.8564083682764524,1.0,10.74048574
14268,3_61717173748006894b2b54ff_finance_congruent,61717173748006894b2b54ff,experiment_3,1,finance,1,0.8475014296673953,0.4949237277238946,11.13289019
14292,3_6176966806de000024ed0ddf_crime_congruent,6176966806de000024ed0ddf,experiment_3,1,crime,1,0.5579566776315078,0.7867992836443896,13.69961175
14316,3_6176966806de000024ed0ddf_finance_incongruent,6176966806de000024ed0ddf,experiment_3,2,finance,1,0.919417703597462,0.7909166506042733,13.60584652
19120,3_566feba6b937e400052d33b2_crime_incongruent,566feba6b937e400052d33b2,experiment_3,2,crime,1,0.33333333333333337,0.33333333333333337,13.93156857
19152,3_566feba6b937e400052d33b2_finance_congruent,566feba6b937e400052d33b2,experiment_3,1,finance,1,0.4167280346467779,0.4429139854688444,13.93156857
19184,3_5f108dea719866356702d26f_crime_incongruent,5f108dea719866356702d26f,experiment_3,2,crime,1,0.7848342585440324,0.8347050987731784,10.69141511
19216,3_5f108dea719866356702d26f_finance_congruent,5f108dea719866356702d26f,experiment_3,1,finance,1,0.9282041841382261,0.8585786437626906,10.45789394
19248,3_5fbfe145e52a44000a9c2966_crime_incongruent,5fbfe145e52a44000a9c2966,experiment_3,2,crime,1,0.8475014296673953,0.8475014296673953,13.87515857
19280,3_5fbfe145e52a44000a9c2966_finance_congruent,5fbfe145e52a44000a9c2966,experiment_3,1,finance,1,0.758878588914794,0.5058481543982376,13.89180581
8676,3_56cb8858edf8da000b6df354_crime_congruent,56cb8858edf8da000b6df354,experiment_3,1,crime,4,0.886039423540362,0.91695452014626,4.76134407
8700,3_56cb8858edf8da000b6df354_finance_incongruent,56cb8858edf8da000b6df354,experiment_3,2,finance,4,1.0,0.9105572809000084,4.76134407
8724,3_571de12713b1b70012be47f6_crime_incongruent,571de12713b1b70012be47f6,experiment_3,2,crime,4,0.8867722965855405,1.0,1.999293752
8748,3_571de12713b1b70012be47f6_finance_congruent,571de12713b1b70012be47f6,experiment_3,1,finance,4,0.9246221638555591,1.0,1.999293752
8772,3_572f526c3c27e7000e0b8aaa_crime_congruent,572f526c3c27e7000e0b8aaa,experiment_3,1,crime,4,1.0,1.0,11.41872675
8796,3_572f526c3c27e7000e0b8aaa_finance_incongruent,572f526c3c27e7000e0b8aaa,experiment_3,2,finance,4,0.9163757989992909,0.6518446880886043,11.41872675
8820,3_5831960ab232860001b110dc_crime_incongruent,5831960ab232860001b110dc,experiment_3,2,crime,4,0.91695452014626,0.5868030647293314,13.68655941
8844,3_5831960ab232860001b110dc_finance_congruent,5831960ab232860001b110dc,experiment_3,1,finance,4,0.9105572809000084,0.9105572809000084,13.68655941
8868,3_594abd98215cbd000146debc_crime_incongruent,594abd98215cbd000146debc,experiment_3,2,crime,4,1.0,0.615889360201312,0.059356549
8892,3_594abd98215cbd000146debc_finance_congruent,594abd98215cbd000146debc,experiment_3,1,finance,4,0.913613157441864,0.8069531643736639,0.059356549
8916,3_5acc65f668b65b00018db322_crime_incongruent,5acc65f668b65b00018db322,experiment_3,2,crime,4,0.889903623487364,0.850373599583855,5.703342498
8940,3_5acc65f668b65b00018db322_finance_congruent,5acc65f668b65b00018db322,experiment_3,1,finance,4,0.889903623487364,0.9246221638555591,5.703342498
8964,3_5b339152afe1d00001c6c509_crime_incongruent,5b339152afe1d00001c6c509,experiment_3,2,crime,4,1.0,0.9157848078933482,9.004752823
8988,3_5b339152afe1d00001c6c509_finance_congruent,5b339152afe1d00001c6c509,experiment_3,1,finance,4,0.91695452014626,0.8778305556436947,9.004752823
9012,3_5b84a7ea4f38790001778d53_crime_incongruent,5b84a7ea4f38790001778d53,experiment_3,2,crime,4,0.8852921330647191,0.8475014296673953,8.694017848
9036,3_5b84a7ea4f38790001778d53_finance_congruent,5b84a7ea4f38790001778d53,experiment_3,1,finance,4,0.8892302448756577,0.8433479100024085,9.219506748
9060,3_5c018eb6067bbf00019ba43d_crime_congruent,5c018eb6067bbf00019ba43d,experiment_3,1,crime,4,0.889903623487364,0.8954583253021366,3.685210208
9084,3_5c018eb6067bbf00019ba43d_finance_incongruent,5c018eb6067bbf00019ba43d,experiment_3,2,finance,4,0.9163757989992909,0.654452629767456,3.478316699
9108,3_5c06fc4918ac7e00016bf76d_crime_incongruent,5c06fc4918ac7e00016bf76d,experiment_3,2,crime,4,0.8927887465162205,0.8153627635310009,8.724608537
9132,3_5c06fc4918ac7e00016bf76d_finance_congruent,5c06fc4918ac7e00016bf76d,experiment_3,1,finance,4,0.91695452014626,0.8867722965855405,8.724608537
9156,3_5c17c149f596b100011ca8b8_crime_congruent,5c17c149f596b100011ca8b8,experiment_3,1,crime,4,0.9163757989992909,0.8541350085021054,9.80408411
9180,3_5c17c149f596b100011ca8b8_finance_incongruent,5c17c149f596b100011ca8b8,experiment_3,2,finance,4,0.8825559560970593,0.752202686108324,9.804084145
9204,3_5c6400cbcb937d00012d8866_crime_congruent,5c6400cbcb937d00012d8866,experiment_3,1,crime,4,0.8679323640511565,0.850373599583855,12.07208706
9228,3_5c6400cbcb937d00012d8866_finance_incongruent,5c6400cbcb937d00012d8866,experiment_3,2,finance,4,0.913613157441864,0.7190242565254918,12.07208655
9252,3_5c7dd22debc24800018e7ca0_crime_congruent,5c7dd22debc24800018e7ca0,experiment_3,1,crime,4,0.8585786437626906,0.726990546884026,12.87416429
9276,3_5c7dd22debc24800018e7ca0_finance_incongruent,5c7dd22debc24800018e7ca0,experiment_3,2,finance,4,0.9157848078933482,0.7190242565254918,12.87385187
9300,3_5c8bafb53b6f3d00013d7c30_crime_congruent,5c8bafb53b6f3d00013d7c30,experiment_3,1,crime,4,0.8443002111676954,0.7051160876902057,13.16079348
9324,3_5c8bafb53b6f3d00013d7c30_finance_incongruent,5c8bafb53b6f3d00013d7c30,experiment_3,2,finance,4,1.0,0.7075511740671991,13.16079494
9348,3_5cf9179b8c98dc0001d5a431_crime_incongruent,5cf9179b8c98dc0001d5a431,experiment_3,2,crime,4,0.9241901956421097,0.6676370714428732,10.92701066
9372,3_5cf9179b8c98dc0001d5a431_finance_congruent,5cf9179b8c98dc0001d5a431,experiment_3,1,finance,4,0.8248576389739852,0.8852921330647191,10.87916991
9396,3_5cfddbd3ee0b1500019fa84c_crime_congruent,5cfddbd3ee0b1500019fa84c,experiment_3,1,crime,4,0.91695452014626,0.8778305556436947,7.164660529
9420,3_5cfddbd3ee0b1500019fa84c_finance_incongruent,5cfddbd3ee0b1500019fa84c,experiment_3,2,finance,4,0.913613157441864,0.8724846573873324,7.164660529
9444,3_5d1a69d8f97a18001977e0d7_crime_incongruent,5d1a69d8f97a18001977e0d7,experiment_3,2,crime,4,0.8817375208021835,1.0,11.56179122
9468,3_5d1a69d8f97a18001977e0d7_finance_congruent,5d1a69d8f97a18001977e0d7,experiment_3,1,finance,4,0.9163757989992909,0.886039423540362,11.56179122
9492,3_5d1c9f75328d1c001af3af0f_crime_congruent,5d1c9f75328d1c001af3af0f,experiment_3,1,crime,4,0.9199359230974564,0.83390904029252,4.761385556
9516,3_5d1c9f75328d1c001af3af0f_finance_incongruent,5d1c9f75328d1c001af3af0f,experiment_3,2,finance,4,0.8817375208021835,0.9199359230974564,4.761385556
9540,3_5d470786da637a00014ba26f_crime_congruent,5d470786da637a00014ba26f,experiment_3,1,crime,4,0.8719631200671041,0.6955612921633185,12.0
9564,3_5d470786da637a00014ba26f_finance_incongruent,5d470786da637a00014ba26f,experiment_3,2,finance,4,0.8347050987731784,0.45177883287177634,12.0030331
9588,3_5d67b6d92b7448000173d95a_crime_congruent,5d67b6d92b7448000173d95a,experiment_3,1,crime,4,0.886039423540362,0.9163757989992909,10.22660384
9612,3_5d67b6d92b7448000173d95a_finance_incongruent,5d67b6d92b7448000173d95a,experiment_3,2,finance,4,0.9163757989992909,0.8778305556436947,10.22660384
9636,3_5d70ec2138ac7e00012f817b_crime_incongruent,5d70ec2138ac7e00012f817b,experiment_3,2,crime,4,0.8356010126946427,0.9260778729045427,5.900134507
9660,3_5d70ec2138ac7e00012f817b_finance_congruent,5d70ec2138ac7e00012f817b,experiment_3,1,finance,4,0.8483803912842194,0.9260778729045427,5.900134507
9684,3_5dafea4de40355001651fa2f_crime_incongruent,5dafea4de40355001651fa2f,experiment_3,2,crime,4,1.0,0.8196660730665135,13.50393414
9708,3_5dafea4de40355001651fa2f_finance_congruent,5dafea4de40355001651fa2f,experiment_3,1,finance,4,0.9098330365332568,0.7614406381931511,13.50393414
9732,3_5dde680c40460edc4a5dc1a2_crime_congruent,5dde680c40460edc4a5dc1a2,experiment_3,1,crime,4,0.8483803912842194,0.8921672267965616,5.84694485
9756,3_5dde680c40460edc4a5dc1a2_finance_incongruent,5dde680c40460edc4a5dc1a2,experiment_3,2,finance,4,0.9221501055838477,0.886039423540362,5.846575665
9780,3_5de2b59d8fde1c2eb47f92d8_crime_congruent,5de2b59d8fde1c2eb47f92d8,experiment_3,1,crime,4,1.0,1.0,9.509682011
9804,3_5de2b59d8fde1c2eb47f92d8_finance_incongruent,5de2b59d8fde1c2eb47f92d8,experiment_3,2,finance,4,0.91695452014626,0.8438262381113939,9.509682011
9828,3_5e1b65eeb287dc38d94b694e_crime_incongruent,5e1b65eeb287dc38d94b694e,experiment_3,2,crime,4,1.0,0.9188892894346188,12.00010359
9852,3_5e1b65eeb287dc38d94b694e_finance_congruent,5e1b65eeb287dc38d94b694e,experiment_3,1,finance,4,1.0,0.798380540363622,12.00010359
9876,3_5e31e6491faa251bf58151ce_crime_congruent,5e31e6491faa251bf58151ce,experiment_3,1,crime,4,0.8199099324437007,0.8960249510179927,7.867623575
9900,3_5e31e6491faa251bf58151ce_finance_incongruent,5e31e6491faa251bf58151ce,experiment_3,2,finance,4,0.9142507074287456,0.913613157441864,7.871477712
9924,3_5e3b5fa9255e7a37bc841135_crime_congruent,5e3b5fa9255e7a37bc841135,experiment_3,1,crime,4,0.9163757989992909,0.9163757989992909,5.892798219
9948,3_5e3b5fa9255e7a37bc841135_finance_incongruent,5e3b5fa9255e7a37bc841135,experiment_3,2,finance,4,0.919417703597462,0.8198125074608882,5.892798219
9972,3_5e7d3b58d638273c7f823c7b_crime_incongruent,5e7d3b58d638273c7f823c7b,experiment_3,2,crime,4,0.8634952734420129,0.8483803912842194,5.778974739
9996,3_5e7d3b58d638273c7f823c7b_finance_congruent,5e7d3b58d638273c7f823c7b,experiment_3,1,finance,4,0.889903623487364,0.919417703597462,5.778972191
10020,3_5e822d17f956a29530ccc2f8_crime_incongruent,5e822d17f956a29530ccc2f8,experiment_3,2,crime,4,0.9216739550012043,0.8044204353205106,10.87921253
10044,3_5e822d17f956a29530ccc2f8_finance_congruent,5e822d17f956a29530ccc2f8,experiment_3,1,finance,4,0.886039423540362,0.886039423540362,10.87921253
10068,3_5e9fdd5effe6a51855448d1b_crime_congruent,5e9fdd5effe6a51855448d1b,experiment_3,1,crime,4,0.8492443277111181,0.8259223440443022,11.79934752
10092,3_5e9fdd5effe6a51855448d1b_finance_incongruent,5e9fdd5effe6a51855448d1b,experiment_3,2,finance,4,0.8686935671402775,0.6532744900717966,11.79934752
10116,3_5ec3b9e83f187802a6aa041e_crime_congruent,5ec3b9e83f187802a6aa041e,experiment_3,1,crime,4,0.919417703597462,0.8817375208021835,9.509764051
10140,3_5ec3b9e83f187802a6aa041e_finance_incongruent,5ec3b9e83f187802a6aa041e,experiment_3,2,finance,4,0.91695452014626,0.7883963152424205,9.509764051
10164,3_5eea0a01da0cfc0a744df4d9_crime_congruent,5eea0a01da0cfc0a744df4d9,experiment_3,1,crime,4,0.8927887465162205,0.8927887465162205,10.32462226
10188,3_5eea0a01da0cfc0a744df4d9_finance_incongruent,5eea0a01da0cfc0a744df4d9,experiment_3,2,finance,4,1.0,0.772570586926329,10.32462226
10212,3_5ef601b056fe3607b3410b33_crime_congruent,5ef601b056fe3607b3410b33,experiment_3,1,crime,4,0.8198125074608882,0.8954583253021366,7.867035872
10236,3_5ef601b056fe3607b3410b33_finance_incongruent,5ef601b056fe3607b3410b33,experiment_3,2,finance,4,0.91695452014626,0.8867722965855405,7.867020635
10260,3_5eff4206a352be49f1aef4cc_crime_congruent,5eff4206a352be49f1aef4cc,experiment_3,1,crime,4,0.8686935671402775,0.8024540806700821,8.719469799
10284,3_5eff4206a352be49f1aef4cc_finance_incongruent,5eff4206a352be49f1aef4cc,experiment_3,2,finance,4,1.0,0.886039423540362,8.792850319
10308,3_5f0559d1bc410b85707c58a3_crime_congruent,5f0559d1bc410b85707c58a3,experiment_3,1,crime,4,0.91695452014626,1.0,0.017288542
10332,3_5f0559d1bc410b85707c58a3_finance_incongruent,5f0559d1bc410b85707c58a3,experiment_3,2,finance,4,1.0,1.0,0.017288542
10356,3_5f120176fbc66510873bcbf8_crime_congruent,5f120176fbc66510873bcbf8,experiment_3,1,crime,4,0.8241368854718353,0.6953961504599143,9.181611135
10380,3_5f120176fbc66510873bcbf8_finance_incongruent,5f120176fbc66510873bcbf8,experiment_3,2,finance,4,0.8825559560970593,0.8825559560970593,8.72516769
10404,3_5f1b2fe23bcef80c38d2a362_crime_incongruent,5f1b2fe23bcef80c38d2a362,experiment_3,2,crime,4,0.8521557458090854,0.7063898902426482,13.59617788
10428,3_5f1b2fe23bcef80c38d2a362_finance_congruent,5f1b2fe23bcef80c38d2a362,experiment_3,1,finance,4,0.8604273684402294,0.8604273684402294,13.59617788
10452,3_5f2448855226b0000a8129e1_crime_congruent,5f2448855226b0000a8129e1,experiment_3,1,crime,4,0.889903623487364,0.8443002111676954,5.900134579
10476,3_5f2448855226b0000a8129e1_finance_incongruent,5f2448855226b0000a8129e1,experiment_3,2,finance,4,0.8825559560970593,0.8604273684402294,5.900134579
10500,3_5f2c226f8cea75078acb6377_crime_incongruent,5f2c226f8cea75078acb6377,experiment_3,2,crime,4,0.8686935671402775,0.8069531643736639,9.293961499
10524,3_5f2c226f8cea75078acb6377_finance_congruent,5f2c226f8cea75078acb6377,experiment_3,1,finance,4,0.886039423540362,0.886039423540362,9.293961499
10548,3_5f343de4d0c07630b7f90b92_crime_congruent,5f343de4d0c07630b7f90b92,experiment_3,1,crime,4,0.886039423540362,0.9221501055838477,6.926040704
10572,3_5f343de4d0c07630b7f90b92_finance_incongruent,5f343de4d0c07630b7f90b92,experiment_3,2,finance,4,1.0,0.7355570573260275,6.926040704
10596,3_5f3aee04e30eac7cb73b416e_crime_incongruent,5f3aee04e30eac7cb73b416e,experiment_3,2,crime,4,0.8604273684402294,0.7485673235146281,12.83538065
10620,3_5f3aee04e30eac7cb73b416e_finance_congruent,5f3aee04e30eac7cb73b416e,experiment_3,1,finance,4,1.0,0.8825559560970593,12.83538065
10644,3_5f3e8506cb479c0a96cf4aac_crime_incongruent,5f3e8506cb479c0a96cf4aac,experiment_3,2,crime,4,0.8304841240947974,0.6709902392323104,9.509774331
10668,3_5f3e8506cb479c0a96cf4aac_finance_congruent,5f3e8506cb479c0a96cf4aac,experiment_3,1,finance,4,0.8921672267965616,0.9216739550012043,9.509774331
10692,3_5f466020c3a053038da47399_crime_incongruent,5f466020c3a053038da47399,experiment_3,2,crime,4,0.8634952734420129,0.8347050987731784,11.44565404
10716,3_5f466020c3a053038da47399_finance_congruent,5f466020c3a053038da47399,experiment_3,1,finance,4,0.886039423540362,0.6790166623790216,11.44565404
10740,3_5f4e97aae4fe380a7bad99c7_crime_incongruent,5f4e97aae4fe380a7bad99c7,experiment_3,2,crime,4,0.8304841240947974,0.8954583253021366,3.482901112
10764,3_5f4e97aae4fe380a7bad99c7_finance_congruent,5f4e97aae4fe380a7bad99c7,experiment_3,1,finance,4,0.889903623487364,0.9246221638555591,3.482901112
10788,3_5f600669b846780f0fe45709_crime_incongruent,5f600669b846780f0fe45709,experiment_3,2,crime,4,1.0,1.0,5.459041782
10812,3_5f600669b846780f0fe45709_finance_congruent,5f600669b846780f0fe45709,experiment_3,1,finance,4,1.0,1.0,5.459041782
10836,3_5f6b8c1f5622370b0c94d597_crime_congruent,5f6b8c1f5622370b0c94d597,experiment_3,1,crime,4,0.9211889593760899,0.5270473485365412,11.41872675
10860,3_5f6b8c1f5622370b0c94d597_finance_incongruent,5f6b8c1f5622370b0c94d597,experiment_3,2,finance,4,0.8817375208021835,0.8068331476784361,11.41872675
10884,3_5f75ce20817166287293b825_crime_incongruent,5f75ce20817166287293b825,experiment_3,2,crime,4,0.7994261107285615,0.8394596752330161,7.310232639
10908,3_5f75ce20817166287293b825_finance_congruent,5f75ce20817166287293b825,experiment_3,1,finance,4,0.9246221638555591,0.919417703597462,7.312918558
10932,3_5f761e5106b786071f45b4aa_crime_congruent,5f761e5106b786071f45b4aa,experiment_3,1,crime,4,0.9188892894346188,0.913613157441864,13.89244384
10956,3_5f761e5106b786071f45b4aa_finance_incongruent,5f761e5106b786071f45b4aa,experiment_3,2,finance,4,1.0,0.6871068906126281,13.89244384
10980,3_5f8836a5fb70462a169fc0ac_crime_incongruent,5f8836a5fb70462a169fc0ac,experiment_3,2,crime,4,0.9211889593760899,0.886039423540362,9.73253235
11004,3_5f8836a5fb70462a169fc0ac_finance_congruent,5f8836a5fb70462a169fc0ac,experiment_3,1,finance,4,0.9163757989992909,0.9163757989992909,9.73253117
11028,3_5f97e6601f6d0e016087fc91_crime_congruent,5f97e6601f6d0e016087fc91,experiment_3,1,crime,4,0.889903623487364,0.9246221638555591,12.87920888
11052,3_5f97e6601f6d0e016087fc91_finance_incongruent,5f97e6601f6d0e016087fc91,experiment_3,2,finance,4,0.8250364469440588,0.6632477737925551,12.87920888
11076,3_5f9aba6600cdf11f1c9b915c_crime_incongruent,5f9aba6600cdf11f1c9b915c,experiment_3,2,crime,4,0.8564083682764524,0.5130570854177507,13.93156857
