model_name,BIC group,Tau,Attention,Change memory,Tau Prior,CE threshold,Strength threshold,Guess,BIC ind.,Part best fit prev,Part best fit new
Baseline,4616.0,,,,,,,,77.25,4,4
normative,4265.0,7.658,,,,,,,55.36,10,5
normative w. prior,4250.0,7.661,,,272.899,,,,56.74,,
LC basic,3753.0,1.609,,,,,,,59.58,3,3
LC basic w. prior,3746.0,1.61,,,450.459,,,,60.59,1,1
CEA basic,3766.0,,,,,0.625,,0.437,58.9,,
CEA strength sensitive,3579.0,,,,,0.744,48.398,0.4,62.06,16,16
Adaptive LC,3790.0,1.655,,,,,,,60.94,,3
Adaptive LC w. prior,3790.0,1.65,,,355.033,,,,61.88,,1
AS LC att.,3256.0,2.15,0.208,,,,,,52.55,22,
AS LC att. w. prior,3282.0,2.134,0.046,,212.443,,,,53.48,4,
AS LC,3257.0,2.158,,,,,,,51.81,,22
AS LC w. prior,3277.0,2.107,,,186.751,,,,52.55,,5
